state,probed_at,verdict,page,note
WY,2026-09-22T18:05:02Z,UNCHANGED,(all),
MS,2026-09-22T18:05:17Z,UNCHANGED,funding,
MS,2026-09-22T18:05:17Z,CHANGED,home,
MS,2026-09-22T18:05:17Z,UNCHANGED,gov_newsroom,
MS,2026-09-22T18:05:17Z,CHANGED,dom_completed,
DE,2026-09-22T18:05:29Z,TRIPWIRE,(probe),"ℹ In index: 1. Caused by error: ! [DE] 'release' NAMES 17 ORGANISATION(S) THE ARCHIVED COPY DOES NOT: Family Court Judge in Sussex County | Governor Meyer Signs Legislation Renaming Delaware Hospital in Honor of Eleanor Cain | Out-of-State Measles Patient Visits Sussex County | M Film Tax Credit Program | Unclaimed Property MONEY MATCH Program Returns | Diamond State Port Corporation | Delaware Department of Labor | Host Statewide Construction Workforce Expo at POLYTECH High School | Governor’s Supplier Diversity Council | Large Projects Awarded Downtown Development Districts Funding Reservations | Hold Community Meeting on Chronic Wasting Disease Temporary Regulations Affecting Deer | Fairness in Delaware’s Justice System (and 5 more). THAT IS THE SIGNAL, NOT A DEFECT. This fires on the page NAMING somebody new, whatever words it used to do it -- which is the half the phrase lists cannot cover, and the half New Mexico's six Regional Hubs went through. Re-fetch, READ what changed, and then either extract it or add the names to this page's `known` list with the sentence that justifies them. Do NOT widen the suffix list to make this quiet."
ID,2026-09-22T18:05:39Z,TRIPWIRE,(probe),"ℹ In index: 1. Caused by error: ! [ID] 'funding' NAMES 9 ORGANISATION(S) THE ARCHIVED COPY DOES NOT: Behavioral Health Prevention CLOSED | Healthcare Infrastructure Support CLOSED | State Board of Education CLOSED | Statewide Chronic Disease Education Network CLOSED | Graduate Medical Education | Sate Board of Education | School-Based Family Support Hubs CLOSED | Idaho Cognitive Care Pathway Network CLOSED | Cognitive Health Workforce Response Network CLOSED. THAT IS THE SIGNAL, NOT A DEFECT. This fires on the page NAMING somebody new, whatever words it used to do it -- which is the half the phrase lists cannot cover, and the half New Mexico's six Regional Hubs went through. Re-fetch, READ what changed, and then either extract it or add the names to this page's `known` list with the sentence that justifies them. Do NOT widen the suffix list to make this quiet."
OH,2026-09-22T18:05:45Z,UNCHANGED,release,
OH,2026-09-22T18:05:45Z,UNCHANGED,odh,
SC,2026-09-22T18:05:53Z,UNCHANGED,programme,
SC,2026-09-22T18:05:53Z,UNCHANGED,rmua_control,
SC,2026-09-22T18:05:53Z,UNCHANGED,bhcs_control,
SC,2026-09-22T18:05:53Z,UNCHANGED,award_list,
