state,state_name,fy2026_allotment,fy2026_allotment_published,source_url,source_fetched
OK,Oklahoma,223476949,"$223,476,949",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
OR,Oregon,197271578,"$197,271,578",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
PA,Pennsylvania,193294054,"$193,294,054",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
RI,Rhode Island,156169931,"$156,169,931",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
SC,South Carolina,200030252,"$200,030,252",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
SD,South Dakota,189477607,"$189,477,607",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
TN,Tennessee,206888882,"$206,888,882",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
TX,Texas,281319361,"$281,319,361",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
UT,Utah,195743566,"$195,743,566",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
VA,Virginia,189544888,"$189,544,888",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
VT,Vermont,195053740,"$195,053,740",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
WA,Washington,181257515,"$181,257,515",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
WI,Wisconsin,203670005,"$203,670,005",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
WV,West Virginia,199476099,"$199,476,099",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
WY,Wyoming,205004743,"$205,004,743",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
