state,file,row_index,awardee,amount,rural_class,designation,counts_as_rural,ccn,basis_type
GA,ga_great_health_awards.csv,55,Colquitt Regional Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,56,Crisp Regional Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,57,Dodge County Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,58,Donalsonville Hospital Inc,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,59,Dorminy Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,60,Early Medical Center,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,61,Effingham Health System,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,62,Elbert Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,63,Emanuel Medical Center,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,64,Evans Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,65,Flint River Community Hospital,750000,STATE_SOURCE_RURAL,GA roster: Rural,TRUE,,
GA,ga_great_health_awards.csv,66,Hamilton Medical Center,750000,STATE_SOURCE_RURAL,GA roster: RRC,TRUE,,
GA,ga_great_health_awards.csv,67,Higgins General Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,68,Jasper Memorial Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
GA,ga_great_health_awards.csv,69,Jeff Davis Hospital,750000,STATE_SOURCE_RURAL,GA roster: CAH,TRUE,,
